# Testi ufficiali delle carte letti nel gioco il 25/09/2026 (Demo 2.0, patch demo del 21/09): collezione con le carte non possedute.
# Formato: Nome carta<TAB>testo, \n = a capo nella carta; statistiche nella notazione del sito (⚔️ ❤️); le carte senza testo hanno solo il nome.
Itsy Bitsy Spider
Three Blind Mice	Alla morte: Evoca un Mouse [1⚔️/1❤️] su due spazi casuali.
Ugly Duckling	Quando scarti una carta, mi trasformo in Beautiful Swan [4⚔️/4❤️].
Aladdin	Quando vengo scartato, evocami su uno spazio casuale.
Ali Baba	Quando danneggio una barriera avversaria, pesca una carta.
Asanbosam	Alla rivelazione: Scarta una carta casuale dal costo pari.
Beast	Quando giochi un alleato, ottengo +1⚔️/+1❤️.
Big Bad Wolf	Dopo il combattimento, ottengo +1⚔️/+1❤️.
Black Knight	Alla rivelazione: Infliggi 2 danni al nemico di fronte a me.
Cowardly Lion	Difensore
Dark Omen	Distruggi QUALSIASI personaggio.
Davy Crockett	Difensore\nAlla morte: Il personaggio in cima al tuo mazzo ottiene +2⚔️/+2❤️.
En Passant	Muovi un alleato. Infliggi danni pari alla sua ⚔️ al personaggio di fronte a lui.
Flying Monkey	Alla rivelazione: Muovi QUALSIASI altro personaggio su uno spazio casuale qui.
Frog Prince	Scegline uno: Alla rivelazione: Ottengo +3⚔️ OPPURE Alla rivelazione: Ottengo +3❤️.
Golden Egg	Alla morte: Evoca un Golden Goose [5⚔️/5❤️] su questo spazio.
Humpty	Alla morte: Aggiungi una carta casuale alla tua mano.
Jack	Alla rivelazione: Distruggi un nemico casuale che ha 7 o più ⚔️.
Jill	Quando subisco danni, cura 2 danni alla tua barriera qui.
Kanga	Prima del combattimento, dai +1⚔️/+1❤️ agli alleati che si sono mossi in questo round.
King Shahryar	All'inizio del round, pesca una carta. Scartala prima del combattimento.
Mary	Alla rivelazione: Aggiungi un Little Lamb [1⚔️/1❤️] alla tua mano.\nAlla morte: I tuoi Little Lambs ovunque ottengono +3⚔️/+3❤️ in modo permanente.
Pegasus	Dopo che mi muovo, raddoppio la mia ⚔️.
Piggy Bank	Ottieni +1 mana in modo permanente.
Quasimodo	Alla rivelazione: Scarta la tua carta dal costo più basso. Pesca una carta.
Queen of the Night	Quando giochi una magia, infliggi 2 danni alla barriera avversaria qui.
Shield Maiden	Scudo
Spellbook	Per il resto della partita, aggiungi una magia casuale alla tua mano all'inizio del round. Scartala prima del combattimento.
Wicked Stepsisters
Wicked Witch of the West	Quando sopravvivo a un danno, aggiungi un Flying Monkey [4⚔️/1❤️] alla tua mano e mi muovo di uno spazio a sinistra.
Beauty	Quando giochi un alleato, pesca una carta.
Blow the House Down	Scegli un alleato. Infligge danni pari alla sua ⚔️ a TUTTI i nemici lì.
Boogeyman	Alla rivelazione: Distruggi l'alleato qui con la ⚔️ più bassa, anche se sono io.
Christopher Robin
Dorothy	Posso Muovermi ogni round.\nHo +1⚔️/+1❤️ per ogni volta che un alleato si è mosso in questa partita.
Dracula	Quando scarti, torno dal tuo cimitero in mano.\nAlla rivelazione: Evoca Brides of Dracula [2⚔️/2❤️] su uno spazio casuale qui.
Glinda	Quando giochi una magia, dai +1⚔️ agli alleati.
Huntsman	All'uccisione: Ottengo +1⚔️/+1❤️.
Imhotep	Alla morte: Infliggi 2 danni a tutti i nemici qui.
Jekyll	Alla rivelazione: Cura 3 danni a QUALSIASI altro personaggio o barriera qui.\nSe sono in mano dopo il combattimento, mi trasformo in Hyde [5⚔️/3❤️].
Lancelot	Quando giochi un personaggio Buono qui, dagli +2⚔️/+2❤️.
Little John	Alla rivelazione: Se un nemico è stato giocato qui in questo round, ottengo +2⚔️/+2❤️.
Magic Carpet	Scegli uno: Alla rivelazione: Muovi gli altri alleati di uno spazio a sinistra O Alla rivelazione: Muovi gli altri alleati di uno spazio a destra.
Marian	Tiro di precisione 2
Mothman	Alla rivelazione: Rovina questo luogo.
Mulan	Doppio attacco\nQuando avviene un'abilità Alla rivelazione di un alleato, ripetila.
Old MacDonald	La prima volta che QUALSIASI giocatore scarta in ogni round, mescola tre Pumpkins nel mazzo del tuo avversario.
Phuong Hoang	Rinascita, Muovere\nQuando un alleato o una barriera viene curato, ottengo +1⚔️/+1❤️.
Puck	Quando un nemico o la barriera dell'avversario riceve cure, infliggi invece altrettanti danni.
Queen of Hearts	Primo colpo\nQuando avviene un'abilità Alla morte di un alleato, ripetila.
Searing Light	Infliggi 4 danni a un nemico. Cura 4 danni alla tua barriera lì.
Tweedledum	Alla rivelazione: Evoca Tweedledee, che è una mia copia, in un altro luogo casuale.
Underworld Flare	Infliggi 6 danni a un nemico. Quando questa carta viene scartata, infliggi 6 danni a un nemico casuale.
Van Helsing	Prima del combattimento, aggiungi Van Helsing's Tools alla tua mano se non c'è già.
White Queen	Alla rivelazione: Riporta QUALSIASI personaggio nella mano del suo proprietario.
Wicked Stepmother	Tocco letale\nAlla rivelazione: Dai Tocco letale ai tuoi personaggi Malvagi.
Baloo
Bigfoot	Travolgere
Boitata	Se una magia o un'abilità stesse per danneggiare una delle tue barriere, infliggi invece quei danni alla barriera avversaria lì.
Bridge Troll	Difensore
Captain Ahab	Alla rivelazione: Scarta la tua carta dal costo più alto per infliggere il suo costo come danni a un nemico.
Fairy Godmother	Alla rivelazione: Dai a un altro alleato +3⚔️/+3❤️.
Galahad	Alla rivelazione: Dai agli altri alleati +1⚔️/+1❤️.
Hare	Primo colpo, Muovere
Impundulu	Quando attacco, aggiungi un Lightning Strike alla tua mano. Scartalo prima del combattimento del prossimo round.
Merlin	Ripeti la prima magia che giochi ogni round.
Rain of Arrows	Infliggi 2 danni a tutti i nemici.
Sorcerer's Apprentice	Quando giochi una magia, evoca una Broomstick [1⚔️/1❤️] su uno spazio casuale.
The Green Knight	Dopo il combattimento, curo tutti i danni su me stesso.
Three Musketeers	Primo colpo\nAlla rivelazione: Evoca un Musketeer [2⚔️/1❤️] con Primo colpo su ogni spazio qui.
Cockatrice	Tocco letale\nAlla morte: Distruggi un nemico a caso.
Genie	Alla rivelazione: Scarta la tua mano. Aggiungi 3 magie casuali alla tua mano.
Guy of Gisborne	Doppio attacco, Tiro di precisione 1
Heroic Charge	Gli alleati hanno +2⚔️ e Travolgere in questo round.
Koschei	Alla morte o quando vengo scartato: torno nella tua mano e ottengo +2⚔️/+2❤️ permanentemente.
Mowgli	Alla rivelazione: Evoca Baloo [6⚔️/6❤️] in un altro luogo casuale.
Tin Woodman	Alla rivelazione: Cura 8 danni a QUALSIASI altro personaggio o barriera qui.
King Arthur	Scudo\nAlla rivelazione: Dai Scudo ai tuoi personaggi Buoni.
Legion of the Dead	Riempi il tuo tabellone di Zombie [2⚔️/2❤️].
Paul Bunyan
Three Not So Little Pigs	Travolgere\nAlla rivelazione: Evoca un Not So Little Pig [3⚔️/3❤️] con Travolgere su uno spazio casuale di ogni altro luogo.
Bandersnatch	Travolgere
Ellen Trechend	Travolgere\nAlla rivelazione: Ottengo +3⚔️/+3❤️ per ogni carta nemica qui.
Forbidden Knowledge	Distruggi TUTTI i personaggi.
Robin Hood	Tiro di precisione 3\nAlla rivelazione: Infliggi 2 danni a tutti i nemici.
Obliterate	Infliggi 10 danni a QUALSIASI personaggio o barriera.
