# Testi ufficiali delle carte letti nel gioco il 25/09/2026 (Demo 2.0, patch demo del 21/09): collezione con le carte non possedute.
# Formato: Nome carta<TAB>testo, \n = a capo nella carta; statistiche nella notazione del sito (⚔️ ❤️); le carte senza testo hanno solo il nome.
Itsy Bitsy Spider
Huntsman	Al matar: Obtengo +1⚔️/+1❤️.
Imhotep	Al morir: Inflige 2 de daño a todos los enemigos aquí.
Jekyll	Al revelar: Cura 3 de daño de CUALQUIER otro personaje o barrera aquí.\nSi estoy en la mano después del combate, me transformo en Hyde [5⚔️/3❤️].
Lancelot	Cuando juegas un personaje Bueno aquí, dale +2⚔️/+2❤️.
Little John	Al revelar: Si un enemigo fue jugado aquí esta ronda, obtengo +2⚔️/+2❤️.
Magic Carpet	Elige una: Al revelar: Mueve a los demás aliados un espacio a la izquierda O Al revelar: Mueve a los demás aliados un espacio a la derecha.
Marian	Disparo certero 2
Mothman	Al revelar: Arruina esta ubicación.
Mulan	Ataque doble\nCuando ocurre una habilidad Al revelar de un aliado, repítela.
Old MacDonald	La primera vez que CUALQUIER jugador descarta cada ronda, baraja tres Pumpkins en el mazo de tu oponente.
Phuong Hoang	Renacer, Mover\nCuando un aliado o una barrera es curado, obtengo +1⚔️/+1❤️.
Puck	Cuando un enemigo o la barrera del oponente recibe curación, inflige esa cantidad de daño en su lugar.
Queen of Hearts	Primer golpe\nCuando ocurre una habilidad Al morir de un aliado, repítela.
Searing Light	Inflige 4 de daño a un enemigo. Cura 4 de daño de tu barrera allí.
Tweedledum	Al revelar: Invoca a Tweedledee, que es una copia de mí, en otra ubicación aleatoria.
Underworld Flare	Inflige 6 de daño a un enemigo. Cuando esta carta es descartada, inflige 6 de daño a un enemigo aleatorio.
Van Helsing	Antes del combate, añade Van Helsing's Tools a tu mano si no está ya allí.
White Queen	Al revelar: Devuelve CUALQUIER personaje a la mano de su dueño.
Wicked Stepmother	Toque mortal\nAl revelar: Da Toque mortal a tus personajes Malvados.
Baloo
Bigfoot	Arrollar
Boitata	Si un hechizo o habilidad fuera a dañar alguna de tus barreras, inflige ese daño a la barrera del oponente allí en su lugar.
Bridge Troll	Defensor
Captain Ahab	Al revelar: Descarta tu carta de mayor coste para infligir su coste como daño a un enemigo.
Fairy Godmother	Al revelar: Da a otro aliado +3⚔️/+3❤️.
Galahad	Al revelar: Da a los otros aliados +1⚔️/+1❤️.
Hare	Primer golpe, Mover
Impundulu	Cuando ataco, añade un Lightning Strike a tu mano. Descártalo antes del combate de la próxima ronda.
Merlin	Repite el primer hechizo que juegues cada ronda.
Rain of Arrows	Inflige 2 de daño a todos los enemigos.
Sorcerer's Apprentice	Cuando juegas un hechizo, invoca una Broomstick [1⚔️/1❤️] en un espacio aleatorio.
The Green Knight	Después del combate, curo todo el daño de mí mismo.
Three Musketeers	Primer golpe\nAl revelar: Invoca un Musketeer [2⚔️/1❤️] con Primer golpe en cada espacio aquí.
Cockatrice	Toque mortal\nAl morir: Destruye un enemigo al azar.
Genie	Al revelar: Descarta tu mano. Añade 3 hechizos aleatorios a tu mano.
Guy of Gisborne	Ataque doble, Disparo certero 1
Heroic Charge	Los aliados tienen +2⚔️ y Arrollar esta ronda.
Koschei	Al morir o al ser descartado: vuelvo a tu mano y obtengo +2⚔️/+2❤️ permanentemente.
Mowgli	Al revelar: Invoca a Baloo [6⚔️/6❤️] en otra ubicación aleatoria.
Tin Woodman	Al revelar: Cura 8 de daño de CUALQUIER otro personaje o barrera aquí.
King Arthur	Escudo\nAl revelar: Da Escudo a tus personajes Buenos.
Legion of the Dead	Llena tu tablero de Zombies [2⚔️/2❤️].
Paul Bunyan
Three Not So Little Pigs	Arrollar\nAl revelar: Invoca un Not So Little Pig [3⚔️/3❤️] con Arrollar en un espacio aleatorio de cada otra ubicación.
Bandersnatch	Arrollar
Ellen Trechend	Arrollar\nAl revelar: Obtengo +3⚔️/+3❤️ por cada carta enemiga aquí.
Forbidden Knowledge	Destruye a TODOS los personajes.
Robin Hood	Disparo certero 3\nAl revelar: Inflige 2 de daño a todos los enemigos.
Obliterate	Inflige 10 de daño a CUALQUIER personaje o barrera.
